id,type,address,price,coords,contamination,distanceToDangerZone,distanceToMedianJobLocation,Zone,GreenConc,lt,lg,priceLogScaled,totalScore
link_ad_83033527,Bilocale,"largo La Foppa, Moscova, Milano",2333,"[45.477719, 9.1845793]",0.14597307381336577,3.2167972972301433,0.9800545026711571,1.0,0.11462977145811785,45.477719,9.1845793,0.5141654970962737,8.456169975537323
link_ad_83287693,Trilocale,"via Plinio 5, Buenos Aires, Milano",2200,"[45.4797924, 9.2120956]",0.12790899584069848,3.2753023505850596,2.053598022582912,3.0,0.1217181679550246,45.4797924,9.2120956,0.49457174594794884,3.6047087708426218
link_ad_83920864,Bilocale,"via alex Visconti 17, Gallaratese, Milano",630,"[45.5029303, 9.1027252]",0.5583498056803364,2.455192187249489,7.737804497853908,8.0,0.14965863237774032,45.5029303,9.1027252,0.07714698773439066,-28.84225235820703
link_ad_83293187,Trilocale,"piazza dei Daini 4, Bicocca, Milano",1500,"[45.5159916, 9.210844699999999]",0.2610950715607032,2.621698252675831,5.391698651324691,9.0,0.17413316666666664,45.5159916,9.210844699999999,0.36672579134208494,-16.118440474424908
link_ad_80928339,Attico,"piazza dei Daini 3, Bicocca, Milano",1200,"[45.5155217, 9.210695]",0.25643901372677647,2.602244262579523,5.3383660360975975,9.0,0.17413316666666664,45.5155217,9.210695,0.29223864398112154,-15.553331322796529
link_ad_70606002,Bilocale,"via Gluck 40, Cascina dei Pomi, Milano",900,"[45.4976225, 9.208641]",0.11463996020029299,2.4002084785750517,3.4225756463814854,2.0,0.08483287837837838,45.4976225,9.208641,0.19620800900368796,-6.241911293160181
link_ad_79097071,Bilocale,"piazza dei Daini 3, Bicocca, Milano",1000,"[45.5155217, 9.210695]",0.25643901372677647,2.602244262579523,5.3383660360975975,9.0,0.17413316666666664,45.5155217,9.210695,0.23137821315975948,-15.249029168689718
link_ad_83263661,Trilocale,"via Passo di Brizio 6, San Siro, Milano",1500,"[45.4724475, 9.1220994]",-0.2245458076649811,0.6476469556696832,5.301740956144683,7.0,0.16894003541799618,45.4724475,9.1220994,0.36672579134208494,-23.136669743670538
link_ad_83686753,Bilocale,"via Giulio Bergonzoli 2, Pasteur, Milano",1100,"[45.4883962, 9.2142267]",0.07496977728442289,2.473777253663407,2.8048037250071784,2.0,0.08483287837837838,45.4883962,9.2142267,0.2631935327881898,-2.9217845151900304
link_ad_82571735,Bilocale,"via Palmanova 67, Cimiano, Milano",1200,"[45.4970899, 9.236738299999999]",-0.1295171534002293,0.6353881835809984,4.745695652353169,2.0,0.08483287837837838,45.4970899,9.236738299999999,0.29223864398112154,-20.94098040487342
link_ad_68390233,Monolocale,"via Podgora 4, Guastalla, Milano",800,"[45.4604045, 9.2036696]",0.34530766113311984,2.524788428826059,1.4905830427247544,1.0,0.11462977145811785,45.4604045,9.2036696,0.15689106579879608,3.2331821531375344
link_ad_84078730,Bilocale,"via Pellegrino Rossi 42, Affori, Milano",550,"[45.5105076, 9.1765472]",0.5373579524166416,1.382180922492014,4.650278246160791,9.0,0.17413316666666664,45.5105076,9.1765472,0.03181531962843076,-18.315687145235916
link_ad_83936532,Bilocale,"via Lanzone, Sant'Ambrogio, Milano",1250,"[45.462105, 9.1744825]",0.14793702567112632,1.398445604497279,1.4784213469882423,1.0,0.11462977145811785,45.462105,9.1744825,0.30586536052072244,-2.0957417861234706
link_ad_29191930,Trilocale,"via Felice Casati, Repubblica, Milano",1800,"[45.4778029, 9.2058103]",0.15091179573209956,3.7636663204603065,1.5240963568379666,3.0,0.1217181679550246,45.4778029,9.2058103,0.427586222163447,8.913950568409092
link_ad_73796624,Bilocale,"nuovo, primo piano, Ripamonti, Milano",1000,"[45.42440819999999, 9.2036471]",1.3105298437003512,2.378703313295563,5.154436404501991,5.0,0.05845259457649816,45.42440819999999,9.2036471,0.23137821315975948,-21.2959427674502
link_ad_82788679,Quadrilocale,"via Primaticcio, Bande Nere, Milano",1800,"[45.4613384, 9.136954]",-0.19864672541734762,2.1236636172265038,4.240124253739496,6.0,0.11628345240700223,45.4613384,9.136954,0.427586222163447,-11.145583404260446
link_ad_78423855,Trilocale,"via Santa Maria Segreta, Carrobbio, Milano",3083,"[45.4603433, 9.184002600000001]",0.2293767493974883,1.3818597057129838,1.1463250954438584,1.0,0.11462977145811785,45.4603433,9.184002600000001,0.6072139174526185,-2.432131425614318
link_ad_83531371,Bilocale,"via Giovanni Battista Sammartini 23, Centrale, Milano",700,"[45.4887026, 9.205299799999999]",0.11577700873021968,3.0231230296891938,2.421245367141044,2.0,0.08483287837837838,45.4887026,9.205299799999999,0.11231719189046174,2.2930817015292333
link_ad_83730283,Quadrilocale,"via Vico Magistretti 3, Portello - Parco Vittoria, Milano",2250,"[45.486652, 9.1504]",0.1663238464097958,2.26884797599175,3.6127214522873374,8.0,0.14965863237774032,45.486652,9.1504,0.5020733695244104,-9.313060299260265
link_ad_83159107,Quadrilocale,"via Giovanni Spadolini, Ripamonti, Milano",1600,"[45.4445206, 9.1902036]",0.5332130779279396,1.293428861224734,2.8066520872703378,5.0,0.05845259457649816,45.4445206,9.1902036,0.3882692789585551,-11.881264941778003
link_ad_63723184,Bilocale,"viale della Liberazione 15, Porta Nuova, Milano",3500,"[45.48215039999999, 9.193638499999999]",0.14709910462261178,3.782606946299142,1.4068351533841597,9.0,0.17413316666666664,45.48215039999999,9.193638499999999,0.6495607655709432,8.76622544694047
link_ad_79666483,Quadrilocale,"via Lazzaro Papi, Porta Romana - Medaglie d'Oro, Milano",2000,"[45.4522516, 9.2020778]",0.4849461089470424,2.114597150827502,2.163461157983568,1.0,0.11462977145811785,45.4522516,9.2020778,0.4627564263195185,-4.4096838548225445
link_ad_81675976,Bilocale,"via Gargano, Ripamonti, Milano",1000,"[45.432256, 9.2012109]",1.0006982682098169,2.0021200874932945,4.261353003135194,5.0,0.05845259457649816,45.432256,9.2012109,0.23137821315975948,-17.16428401217489
link_ad_80173169,Bilocale,"ottimo stato, sesto piano, Sempione, Milano",1800,"[45.4818129, 9.1642779]",0.13137968949740753,2.768029505620859,2.410939955647523,8.0,0.14965863237774032,45.4818129,9.1642779,0.427586222163447,-0.26108864654889063
link_ad_83999330,Appartamento,"via Panizza 0, Vercelli - Wagner, Milano",4000,"[45.4646947, 9.1631413]",0.05526666881632991,1.9316157529410103,2.1675993577678376,7.0,0.16894003541799618,45.4646947,9.1631413,0.6941346394792776,-4.082224388522194
link_ad_82691877,Attico,"piazzale Giovanni delle Bande Nere, Bande Nere, Milano",2750,"[45.4617107, 9.135725899999999]",-0.21020704132388346,2.0426087109080604,4.324812681532752,6.0,0.11628345240700223,45.4617107,9.135725899999999,0.5690588933089122,-12.62386185101359
link_ad_83999328,Attico,"via Ravizza, De Angeli, Milano",2080,"[45.4694378, 9.1499191]",-0.03012652779580094,2.242604728403424,3.1242964976420025,7.0,0.16894003541799618,45.4694378,9.1499191,0.4758486220072031,-5.7923691401599235
link_ad_83124449,Bilocale,"via Caldera, Quinto Romano, Milano",600,"[45.4759378, 9.093888000000002]",-0.4282550420903135,2.3574127177039785,7.524354683988439,7.0,0.16894003541799618,45.4759378,9.093888000000002,0.0608604308213625,-23.153036597987565
